table at $140000 (2048 words, 24-bit)
idx(hex) hex frac(=/2^23)
173 (ad) 43DBF4 +0.5301499
174 (ae) 43E1D6 +0.5303295
175 (af) 43E7B8 +0.5305090
176 (b0) 43ED9A +0.5306885
177 (b1) 43F37D +0.5308682
178 (b2) 43F961 +0.5310479
179 (b3) 43FF45 +0.5312277
180 (b4) 440529 +0.5314075
181 (b5) 440B0E +0.5315874
182 (b6) 4410F4 +0.5317674
183 (b7) 4416DA +0.5319474
184 (b8) 441CC0 +0.5321274
185 (b9) 4422A7 +0.5323075
186 (ba) 44288F +0.5324878
187 (bb) 442E77 +0.5326680
188 (bc) 44345F +0.5328482
189 (bd) 443A48 +0.5330286
190 (be) 444032 +0.5332091
191 (bf) 44461C +0.5333896
192 (c0) 444C07 +0.5335702
193 (c1) 4451F2 +0.5337508
194 (c2) 4457DD +0.5339314
195 (c3) 445DCA +0.5341122
196 (c4) 4463B6 +0.5342929
197 (c5) 4469A4 +0.5344739
198 (c6) 446F91 +0.5346547
199 (c7) 44757F +0.5348357
200 (c8) 447B6E +0.5350168
201 (c9) 44815D +0.5351979
202 (ca) 44874D +0.5353791
203 (cb) 448D3D +0.5355603
204 (cc) 44932E +0.5357416
205 (cd) 44991F +0.5359229
206 (ce) 449F11 +0.5361043
207 (cf) 44A504 +0.5362859
208 (d0) 44AAF6 +0.5364673
209 (d1) 44B0EA +0.5366490
210 (d2) 44B6DE +0.5368307
211 (d3) 44BCD2 +0.5370123
212 (d4) 44C2C7 +0.5371941
213 (d5) 44C8BC +0.5373759
214 (d6) 44CEB2 +0.5375578
215 (d7) 44D4A9 +0.5377399
216 (d8) 44DAA0 +0.5379219
217 (d9) 44E097 +0.5381039
218 (da) 44E68F +0.5382861
219 (db) 44EC88 +0.5384684
220 (dc) 44F281 +0.5386506
221 (dd) 44F87A +0.5388329
222 (de) 44FE74 +0.5390153
223 (df) 45046F +0.5391978
224 (e0) 450A6A +0.5393803
225 (e1) 451066 +0.5395629
226 (e2) 451662 +0.5397456
227 (e3) 451C5F +0.5399283
228 (e4) 45225C +0.5401111
229 (e5) 45285A +0.5402939
230 (e6) 452E58 +0.5404768
231 (e7) 453456 +0.5406597
232 (e8) 453A56 +0.5408428
233 (e9) 454056 +0.5410259
234 (ea) 454656 +0.5412090
235 (eb) 454C57 +0.5413922
236 (ec) 455258 +0.5415754
237 (ed) 45585A +0.5417588
238 (ee) 455E5C +0.5419421
239 (ef) 45645F +0.5421256
240 (f0) 456A63 +0.5423092
241 (f1) 457067 +0.5424927
242 (f2) 45766B +0.5426763
243 (f3) 457C70 +0.5428600
244 (f4) 458276 +0.5430439
245 (f5) 45887C +0.5432277
246 (f6) 458E82 +0.5434115
247 (f7) 459489 +0.5435954
248 (f8) 459A91 +0.5437795
249 (f9) 45A099 +0.5439636
250 (fa) 45A6A2 +0.5441477
251 (fb) 45ACAB +0.5443319
252 (fc) 45B2B4 +0.5445161
253 (fd) 45B8BF +0.5447005
254 (fe) 45BEC9 +0.5448848
255 (ff) 45C4D5 +0.5450693
