# P:$141CA7  filter_coeff_base_tbl  (1201 words)
# FILTER: cutoff->coefficient table, indexed by env-modulated BASE x $4AF>>24 (0..1199); used at P:$058B kernel
#  idx | hex     signed24   fraction(24-bit)
   143 | 7FFE70   8388208   0.9999523
   144 | 7FFE6C   8388204   0.9999518
   145 | 7FFE67   8388199   0.9999512
   146 | 7FFE63   8388195   0.9999508
   147 | 7FFE5E   8388190   0.9999502
   148 | 7FFE5A   8388186   0.9999497
   149 | 7FFE55   8388181   0.9999491
   150 | 7FFE50   8388176   0.9999485
   151 | 7FFE4C   8388172   0.9999480
   152 | 7FFE47   8388167   0.9999474
   153 | 7FFE42   8388162   0.9999468
   154 | 7FFE3D   8388157   0.9999462
   155 | 7FFE38   8388152   0.9999456
   156 | 7FFE33   8388147   0.9999450
   157 | 7FFE2E   8388142   0.9999444
   158 | 7FFE29   8388137   0.9999439
   159 | 7FFE24   8388132   0.9999433
   160 | 7FFE1F   8388127   0.9999427
   161 | 7FFE1A   8388122   0.9999421
   162 | 7FFE15   8388117   0.9999415
   163 | 7FFE0F   8388111   0.9999408
   164 | 7FFE0A   8388106   0.9999402
   165 | 7FFE04   8388100   0.9999394
   166 | 7FFDFF   8388095   0.9999388
   167 | 7FFDF9   8388089   0.9999381
   168 | 7FFDF4   8388084   0.9999375
   169 | 7FFDEE   8388078   0.9999368
   170 | 7FFDE8   8388072   0.9999361
   171 | 7FFDE2   8388066   0.9999354
   172 | 7FFDDC   8388060   0.9999347
   173 | 7FFDD6   8388054   0.9999340
   174 | 7FFDD0   8388048   0.9999332
   175 | 7FFDCA   8388042   0.9999325
   176 | 7FFDC4   8388036   0.9999318
   177 | 7FFDBE   8388030   0.9999311
   178 | 7FFDB8   8388024   0.9999304
   179 | 7FFDB1   8388017   0.9999295
   180 | 7FFDAB   8388011   0.9999288
   181 | 7FFDA4   8388004   0.9999280
   182 | 7FFD9E   8387998   0.9999273
   183 | 7FFD97   8387991   0.9999264
   184 | 7FFD90   8387984   0.9999256
   185 | 7FFD89   8387977   0.9999248
   186 | 7FFD83   8387971   0.9999241
   187 | 7FFD7C   8387964   0.9999232
   188 | 7FFD75   8387957   0.9999224
   189 | 7FFD6E   8387950   0.9999216
   190 | 7FFD66   8387942   0.9999206
   191 | 7FFD5F   8387935   0.9999198
   192 | 7FFD58   8387928   0.9999189
   193 | 7FFD50   8387920   0.9999180
   194 | 7FFD49   8387913   0.9999171
   195 | 7FFD41   8387905   0.9999162
   196 | 7FFD3A   8387898   0.9999154
   197 | 7FFD32   8387890   0.9999144
   198 | 7FFD2A   8387882   0.9999135
   199 | 7FFD22   8387874   0.9999125
   200 | 7FFD1A   8387866   0.9999115
   201 | 7FFD12   8387858   0.9999106
   202 | 7FFD0A   8387850   0.9999096
   203 | 7FFD02   8387842   0.9999087
   204 | 7FFCF9   8387833   0.9999076
   205 | 7FFCF1   8387825   0.9999067
   206 | 7FFCE8   8387816   0.9999056
   207 | 7FFCE0   8387808   0.9999046
   208 | 7FFCD7   8387799   0.9999036
   209 | 7FFCCE   8387790   0.9999025
   210 | 7FFCC5   8387781   0.9999014
   211 | 7FFCBC   8387772   0.9999003
   212 | 7FFCB3   8387763   0.9998993
   213 | 7FFCAA   8387754   0.9998982
   214 | 7FFCA1   8387745   0.9998971
   215 | 7FFC97   8387735   0.9998959
   216 | 7FFC8E   8387726   0.9998949
   217 | 7FFC84   8387716   0.9998937
   218 | 7FFC7B   8387707   0.9998926
   219 | 7FFC71   8387697   0.9998914
   220 | 7FFC67   8387687   0.9998902
   221 | 7FFC5D   8387677   0.9998890
   222 | 7FFC53   8387667   0.9998878
   223 | 7FFC48   8387656   0.9998865
   224 | 7FFC3E   8387646   0.9998853
   225 | 7FFC34   8387636   0.9998841
   226 | 7FFC29   8387625   0.9998828
   227 | 7FFC1E   8387614   0.9998815
   228 | 7FFC14   8387604   0.9998803
   229 | 7FFC09   8387593   0.9998790
   230 | 7FFBFE   8387582   0.9998777
   231 | 7FFBF2   8387570   0.9998763
   232 | 7FFBE7   8387559   0.9998749
   233 | 7FFBDC   8387548   0.9998736
   234 | 7FFBD0   8387536   0.9998722
   235 | 7FFBC4   8387524   0.9998708
   236 | 7FFBB9   8387513   0.9998695
   237 | 7FFBAD   8387501   0.9998680
   238 | 7FFBA1   8387489   0.9998666
   239 | 7FFB94   8387476   0.9998651
   240 | 7FFB88   8387464   0.9998636
   241 | 7FFB7C   8387452   0.9998622
   242 | 7FFB6F   8387439   0.9998606
   243 | 7FFB62   8387426   0.9998591
   244 | 7FFB55   8387413   0.9998575
   245 | 7FFB48   8387400   0.9998560
   246 | 7FFB3B   8387387   0.9998544
   247 | 7FFB2E   8387374   0.9998529
   248 | 7FFB21   8387361   0.9998513
   249 | 7FFB13   8387347   0.9998497
   250 | 7FFB05   8387333   0.9998480
   251 | 7FFAF7   8387319   0.9998463
   252 | 7FFAE9   8387305   0.9998447
   253 | 7FFADB   8387291   0.9998430
   254 | 7FFACD   8387277   0.9998413
   255 | 7FFABE   8387262   0.9998395
   256 | 7FFAB0   8387248   0.9998379
   257 | 7FFAA1   8387233   0.9998361
   258 | 7FFA92   8387218   0.9998343
   259 | 7FFA83   8387203   0.9998325
   260 | 7FFA73   8387187   0.9998306
   261 | 7FFA64   8387172   0.9998288
   262 | 7FFA54   8387156   0.9998269
   263 | 7FFA45   8387141   0.9998251
   264 | 7FFA35   8387125   0.9998232
   265 | 7FFA24   8387108   0.9998212
   266 | 7FFA14   8387092   0.9998193
   267 | 7FFA04   8387076   0.9998174
   268 | 7FF9F3   8387059   0.9998153
   269 | 7FF9E2   8387042   0.9998133
   270 | 7FF9D1   8387025   0.9998113
   271 | 7FF9C0   8387008   0.9998093
   272 | 7FF9AE   8386990   0.9998071
   273 | 7FF99D   8386973   0.9998051
   274 | 7FF98B   8386955   0.9998029
   275 | 7FF979   8386937   0.9998008
   276 | 7FF967   8386919   0.9997987
   277 | 7FF954   8386900   0.9997964
   278 | 7FF942   8386882   0.9997942
   279 | 7FF92F   8386863   0.9997920
   280 | 7FF91C   8386844   0.9997897
   281 | 7FF909   8386825   0.9997874
   282 | 7FF8F5   8386805   0.9997851
   283 | 7FF8E2   8386786   0.9997828
   284 | 7FF8CE   8386766   0.9997804
   285 | 7FF8BA   8386746   0.9997780
   286 | 7FF8A5   8386725   0.9997755
   287 | 7FF891   8386705   0.9997731
   288 | 7FF87C   8386684   0.9997706
   289 | 7FF867   8386663   0.9997681
   290 | 7FF852   8386642   0.9997656
   291 | 7FF83D   8386621   0.9997631
   292 | 7FF827   8386599   0.9997605
   293 | 7FF811   8386577   0.9997579
   294 | 7FF7FB   8386555   0.9997553
   295 | 7FF7E5   8386533   0.9997526
   296 | 7FF7CE   8386510   0.9997499
   297 | 7FF7B7   8386487   0.9997472
   298 | 7FF7A0   8386464   0.9997444
   299 | 7FF789   8386441   0.9997417
   300 | 7FF771   8386417   0.9997388
   301 | 7FF759   8386393   0.9997360
   302 | 7FF741   8386369   0.9997331
   303 | 7FF729   8386345   0.9997302
   304 | 7FF710   8386320   0.9997272
   305 | 7FF6F7   8386295   0.9997243
   306 | 7FF6DE   8386270   0.9997213
   307 | 7FF6C5   8386245   0.9997183
   308 | 7FF6AB   8386219   0.9997152
   309 | 7FF691   8386193   0.9997121
   310 | 7FF677   8386167   0.9997090
   311 | 7FF65C   8386140   0.9997058
   312 | 7FF641   8386113   0.9997026
   313 | 7FF626   8386086   0.9996994
   314 | 7FF60B   8386059   0.9996961
   315 | 7FF5EF   8386031   0.9996928
   316 | 7FF5D3   8386003   0.9996895
   317 | 7FF5B6   8385974   0.9996860
   318 | 7FF59A   8385946   0.9996827
   319 | 7FF57D   8385917   0.9996792
   320 | 7FF55F   8385887   0.9996756
   321 | 7FF542   8385858   0.9996722
   322 | 7FF524   8385828   0.9996686
   323 | 7FF506   8385798   0.9996650
   324 | 7FF4E7   8385767   0.9996613
   325 | 7FF4C8   8385736   0.9996576
   326 | 7FF4A9   8385705   0.9996539
   327 | 7FF489   8385673   0.9996501
   328 | 7FF469   8385641   0.9996463
   329 | 7FF449   8385609   0.9996425
   330 | 7FF428   8385576   0.9996386
   331 | 7FF407   8385543   0.9996346
   332 | 7FF3E6   8385510   0.9996307
   333 | 7FF3C4   8385476   0.9996266
   334 | 7FF3A2   8385442   0.9996226
   335 | 7FF380   8385408   0.9996185
   336 | 7FF35D   8385373   0.9996144
   337 | 7FF339   8385337   0.9996101
   338 | 7FF316   8385302   0.9996059
   339 | 7FF2F2   8385266   0.9996016
   340 | 7FF2CD   8385229   0.9995972
   341 | 7FF2A9   8385193   0.9995929
   342 | 7FF284   8385156   0.9995885
   343 | 7FF25E   8385118   0.9995840
   344 | 7FF238   8385080   0.9995794
   345 | 7FF211   8385041   0.9995748
   346 | 7FF1EB   8385003   0.9995703
   347 | 7FF1C3   8384963   0.9995655
   348 | 7FF19C   8384924   0.9995608
   349 | 7FF174   8384884   0.9995561
   350 | 7FF14B   8384843   0.9995512
   351 | 7FF122   8384802   0.9995463
   352 | 7FF0F9   8384761   0.9995414
   353 | 7FF0CF   8384719   0.9995364
   354 | 7FF0A4   8384676   0.9995313
   355 | 7FF07A   8384634   0.9995263
   356 | 7FF04E   8384590   0.9995210
   357 | 7FF023   8384547   0.9995159
   358 | 7FEFF6   8384502   0.9995105
   359 | 7FEFCA   8384458   0.9995053
   360 | 7FEF9C   8384412   0.9994998
   361 | 7FEF6F   8384367   0.9994944
   362 | 7FEF41   8384321   0.9994889
   363 | 7FEF12   8384274   0.9994833
   364 | 7FEEE3   8384227   0.9994777
   365 | 7FEEB3   8384179   0.9994720
   366 | 7FEE83   8384131   0.9994663
   367 | 7FEE52   8384082   0.9994605
   368 | 7FEE21   8384033   0.9994546
   369 | 7FEDEF   8383983   0.9994487
   370 | 7FEDBD   8383933   0.9994427
   371 | 7FED8A   8383882   0.9994366
   372 | 7FED56   8383830   0.9994304
   373 | 7FED22   8383778   0.9994242
