# P:$142158  filter_tbl_142158  (1600 words)
# FILTER stage2 table, indexed 0..1599 (min(idx,$63F)); used at P:$0630/0666/0700/072D
#  idx | hex     signed24   fraction(24-bit)
   169 | 00153B      5435   0.0006479
   170 | 001558      5464   0.0006514
   171 | 001576      5494   0.0006549
   172 | 001594      5524   0.0006585
   173 | 0015B2      5554   0.0006621
   174 | 0015D0      5584   0.0006657
   175 | 0015EE      5614   0.0006692
   176 | 00160D      5645   0.0006729
   177 | 00162B      5675   0.0006765
   178 | 00164A      5706   0.0006802
   179 | 001669      5737   0.0006839
   180 | 001688      5768   0.0006876
   181 | 0016A8      5800   0.0006914
   182 | 0016C7      5831   0.0006951
   183 | 0016E7      5863   0.0006989
   184 | 001707      5895   0.0007027
   185 | 001727      5927   0.0007066
   186 | 001747      5959   0.0007104
   187 | 001767      5991   0.0007142
   188 | 001788      6024   0.0007181
   189 | 0017A8      6056   0.0007219
   190 | 0017C9      6089   0.0007259
   191 | 0017EA      6122   0.0007298
   192 | 00180C      6156   0.0007339
   193 | 00182D      6189   0.0007378
   194 | 00184F      6223   0.0007418
   195 | 001870      6256   0.0007458
   196 | 001892      6290   0.0007498
   197 | 0018B5      6325   0.0007540
   198 | 0018D7      6359   0.0007581
   199 | 0018F9      6393   0.0007621
   200 | 00191C      6428   0.0007663
   201 | 00193F      6463   0.0007704
   202 | 001962      6498   0.0007746
   203 | 001985      6533   0.0007788
   204 | 0019A9      6569   0.0007831
   205 | 0019CD      6605   0.0007874
   206 | 0019F0      6640   0.0007915
   207 | 001A15      6677   0.0007960
   208 | 001A39      6713   0.0008003
   209 | 001A5D      6749   0.0008045
   210 | 001A82      6786   0.0008090
   211 | 001AA7      6823   0.0008134
   212 | 001ACC      6860   0.0008178
   213 | 001AF1      6897   0.0008222
   214 | 001B16      6934   0.0008266
   215 | 001B3C      6972   0.0008311
   216 | 001B62      7010   0.0008357
   217 | 001B88      7048   0.0008402
   218 | 001BAE      7086   0.0008447
   219 | 001BD5      7125   0.0008494
   220 | 001BFB      7163   0.0008539
   221 | 001C22      7202   0.0008585
   222 | 001C49      7241   0.0008632
   223 | 001C71      7281   0.0008680
   224 | 001C98      7320   0.0008726
   225 | 001CC0      7360   0.0008774
   226 | 001CE8      7400   0.0008821
   227 | 001D10      7440   0.0008869
   228 | 001D39      7481   0.0008918
   229 | 001D61      7521   0.0008966
   230 | 001D8A      7562   0.0009015
   231 | 001DB3      7603   0.0009063
   232 | 001DDC      7644   0.0009112
   233 | 001E06      7686   0.0009162
   234 | 001E30      7728   0.0009212
   235 | 001E5A      7770   0.0009263
   236 | 001E84      7812   0.0009313
   237 | 001EAE      7854   0.0009363
   238 | 001ED9      7897   0.0009414
   239 | 001F04      7940   0.0009465
   240 | 001F2F      7983   0.0009516
   241 | 001F5A      8026   0.0009568
   242 | 001F86      8070   0.0009620
   243 | 001FB2      8114   0.0009673
   244 | 001FDE      8158   0.0009725
   245 | 00200A      8202   0.0009778
   246 | 002037      8247   0.0009831
   247 | 002063      8291   0.0009884
   248 | 002090      8336   0.0009937
   249 | 0020BE      8382   0.0009992
   250 | 0020EB      8427   0.0010046
   251 | 002119      8473   0.0010101
   252 | 002147      8519   0.0010155
   253 | 002175      8565   0.0010210
   254 | 0021A4      8612   0.0010266
   255 | 0021D2      8658   0.0010321
   256 | 002201      8705   0.0010377
   257 | 002231      8753   0.0010434
   258 | 002260      8800   0.0010490
   259 | 002290      8848   0.0010548
   260 | 0022C0      8896   0.0010605
   261 | 0022F0      8944   0.0010662
   262 | 002321      8993   0.0010720
   263 | 002352      9042   0.0010779
   264 | 002383      9091   0.0010837
   265 | 0023B4      9140   0.0010896
   266 | 0023E6      9190   0.0010955
   267 | 002418      9240   0.0011015
   268 | 00244A      9290   0.0011075
   269 | 00247C      9340   0.0011134
   270 | 0024AF      9391   0.0011195
   271 | 0024E2      9442   0.0011256
   272 | 002515      9493   0.0011317
   273 | 002549      9545   0.0011379
   274 | 00257D      9597   0.0011441
   275 | 0025B1      9649   0.0011503
   276 | 0025E5      9701   0.0011564
   277 | 00261A      9754   0.0011628
   278 | 00264F      9807   0.0011691
   279 | 002684      9860   0.0011754
   280 | 0026BA      9914   0.0011818
   281 | 0026EF      9967   0.0011882
   282 | 002726     10022   0.0011947
   283 | 00275C     10076   0.0012012
   284 | 002793     10131   0.0012077
   285 | 0027CA     10186   0.0012143
   286 | 002801     10241   0.0012208
   287 | 002839     10297   0.0012275
   288 | 002871     10353   0.0012342
   289 | 0028A9     10409   0.0012408
   290 | 0028E1     10465   0.0012475
   291 | 00291A     10522   0.0012543
   292 | 002953     10579   0.0012611
   293 | 00298D     10637   0.0012680
   294 | 0029C6     10694   0.0012748
   295 | 002A01     10753   0.0012819
   296 | 002A3B     10811   0.0012888
   297 | 002A76     10870   0.0012958
   298 | 002AB1     10929   0.0013028
   299 | 002AEC     10988   0.0013099
   300 | 002B28     11048   0.0013170
   301 | 002B64     11108   0.0013242
   302 | 002BA0     11168   0.0013313
   303 | 002BDD     11229   0.0013386
   304 | 002C1A     11290   0.0013459
   305 | 002C57     11351   0.0013531
   306 | 002C94     11412   0.0013604
   307 | 002CD2     11474   0.0013678
   308 | 002D11     11537   0.0013753
   309 | 002D4F     11599   0.0013827
   310 | 002D8E     11662   0.0013902
   311 | 002DCE     11726   0.0013978
   312 | 002E0D     11789   0.0014054
   313 | 002E4D     11853   0.0014130
   314 | 002E8E     11918   0.0014207
   315 | 002ECE     11982   0.0014284
   316 | 002F10     12048   0.0014362
   317 | 002F51     12113   0.0014440
   318 | 002F93     12179   0.0014518
   319 | 002FD5     12245   0.0014597
   320 | 003017     12311   0.0014676
