# P:$143C06  kernel_tbl_143C06  (911 words)
# kernel tbl: P:$0660/068C region (gain/env), DSP2 loader ref P:$1114C3
#  idx | hex     signed24   fraction(24-bit)
   171 | 0473D1    291793   0.0347844
   172 | 04A0F7    303351   0.0361623
   173 | 04CFE8    315368   0.0375948
   174 | 0500B5    327861   0.0390841
   175 | 053370    340848   0.0406322
   176 | 05682E    354350   0.0422418
   177 | 059F03    368387   0.0439152
   178 | 05D804    382980   0.0456548
   179 | 061347    398151   0.0474633
   180 | 0650E3    413923   0.0493435
   181 | 0690F0    430320   0.0512981
   182 | 06D386    447366   0.0533302
   183 | 0718C0    465088   0.0554428
   184 | 0760B7    483511   0.0576390
   185 | 07AB88    502664   0.0599222
   186 | 07F951    522577   0.0622960
   187 | 084A2D    543277   0.0647637
   188 | 089E3E    564798   0.0673292
   189 | 08F5A4    587172   0.0699964
   190 | 09507F    610431   0.0727690
   191 | 09AEF4    634612   0.0756516
   192 | 0A1127    659751   0.0786484
   193 | 0A773E    685886   0.0817640
   194 | 0AE160    713056   0.0850029
   195 | 0B4FB6    741302   0.0883701
   196 | 0BC26B    770667   0.0918707
   197 | 0C39AC    801196   0.0955100
   198 | 0CB5A5    832933   0.0992934
   199 | 0D3688    865928   0.1032267
   200 | 0DBC86    900230   0.1073158
   201 | 0E47D3    935891   0.1115669
   202 | 0ED8A5    972965   0.1159865
   203 | 0F6F33   1011507   0.1205810
   204 | 100BB8   1051576   0.1253576
   205 | 10AE70   1093232   0.1303234
   206 | 11579A   1136538   0.1354859
   207 | 120778   1181560   0.1408529
   208 | 12BE4D   1228365   0.1464325
   209 | 137C60   1277024   0.1522331
   210 | 1441FB   1327611   0.1582636
   211 | 150F69   1380201   0.1645328
   212 | 15E4FB   1434875   0.1710504
   213 | 16C303   1491715   0.1778263
   214 | 17A9D6   1550806   0.1848705
   215 | 1899CE   1612238   0.1921937
   216 | 199348   1676104   0.1998072
   217 | 1A96A3   1742499   0.2077221
   218 | 1BA445   1811525   0.2159506
   219 | 1CBC95   1883285   0.2245051
   220 | 1DDFFF   1957887   0.2333983
   221 | 1F0EF5   2035445   0.2426440
   222 | 2049EB   2116075   0.2522558
   223 | 21915B   2199899   0.2622484
   224 | 22E5C4   2287044   0.2726369
   225 | 2447A9   2377641   0.2834369
   226 | 25B792   2471826   0.2946646
   227 | 27360E   2569742   0.3063371
   228 | 28C3B2   2671538   0.3184721
   229 | 2A6115   2777365   0.3310877
   230 | 2C0ED9   2887385   0.3442031
   231 | 2DCDA3   3001763   0.3578380
   232 | 2F9E20   3120672   0.3720131
   233 | 318103   3244291   0.3867496
   234 | 337707   3372807   0.4020699
   235 | 3580EE   3506414   0.4179971
   236 | 379F82   3645314   0.4345553
   237 | 39D394   3789716   0.4517694
   238 | 3C1DFD   3939837   0.4696652
   239 | 3E7FA2   4095906   0.4882700
   240 | 40F96D   4258157   0.5076119
   241 | 438C54   4426836   0.5277200
   242 | 463954   4602196   0.5486245
   243 | 490177   4784503   0.5703572
   244 | 4BE5CF   4974031   0.5929507
   245 | 4EE77C   5171068   0.6164393
   246 | 5207A5   5375909   0.6408583
   247 | 554781   5588865   0.6662446
