# P:$143F95  filter_div_table_1  (1201 words)
# FILTER: div table 1, indexed by BASE cutoff x $4AF>>24 (0..1199); used at P:$057D kernel
#  idx | hex     signed24   fraction(24-bit)
   170 | 005E99     24217   0.0028869
   171 | 005F1D     24349   0.0029026
   172 | 005FA1     24481   0.0029184
   173 | 006026     24614   0.0029342
   174 | 0060AB     24747   0.0029501
   175 | 006132     24882   0.0029662
   176 | 0061B9     25017   0.0029823
   177 | 006241     25153   0.0029985
   178 | 0062C9     25289   0.0030147
   179 | 006353     25427   0.0030311
   180 | 0063DD     25565   0.0030476
   181 | 006467     25703   0.0030640
   182 | 0064F3     25843   0.0030807
   183 | 00657F     25983   0.0030974
   184 | 00660C     26124   0.0031142
   185 | 00669A     26266   0.0031312
   186 | 006729     26409   0.0031482
   187 | 0067B8     26552   0.0031652
   188 | 006848     26696   0.0031824
   189 | 0068D9     26841   0.0031997
   190 | 00696B     26987   0.0032171
   191 | 0069FE     27134   0.0032346
   192 | 006A91     27281   0.0032521
   193 | 006B25     27429   0.0032698
   194 | 006BBA     27578   0.0032876
   195 | 006C50     27728   0.0033054
   196 | 006CE6     27878   0.0033233
   197 | 006D7E     28030   0.0033414
   198 | 006E16     28182   0.0033596
   199 | 006EAF     28335   0.0033778
   200 | 006F49     28489   0.0033962
   201 | 006FE4     28644   0.0034146
   202 | 00707F     28799   0.0034331
   203 | 00711C     28956   0.0034518
   204 | 0071B9     29113   0.0034705
   205 | 007257     29271   0.0034894
   206 | 0072F6     29430   0.0035083
   207 | 007396     29590   0.0035274
   208 | 007436     29750   0.0035465
   209 | 0074D8     29912   0.0035658
   210 | 00757A     30074   0.0035851
   211 | 00761D     30237   0.0036045
   212 | 0076C2     30402   0.0036242
   213 | 007767     30567   0.0036439
   214 | 00780D     30733   0.0036637
   215 | 0078B4     30900   0.0036836
   216 | 00795B     31067   0.0037035
   217 | 007A04     31236   0.0037236
   218 | 007AAE     31406   0.0037439
   219 | 007B58     31576   0.0037642
   220 | 007C04     31748   0.0037847
   221 | 007CB0     31920   0.0038052
   222 | 007D5D     32093   0.0038258
   223 | 007E0C     32268   0.0038466
   224 | 007EBB     32443   0.0038675
   225 | 007F6B     32619   0.0038885
   226 | 00801C     32796   0.0039096
   227 | 0080CE     32974   0.0039308
   228 | 008181     33153   0.0039521
   229 | 008235     33333   0.0039736
   230 | 0082EA     33514   0.0039952
   231 | 0083A0     33696   0.0040169
   232 | 008457     33879   0.0040387
   233 | 00850F     34063   0.0040606
   234 | 0085C8     34248   0.0040827
   235 | 008682     34434   0.0041049
   236 | 00873D     34621   0.0041271
   237 | 0087F9     34809   0.0041496
   238 | 0088B6     34998   0.0041721
   239 | 008974     35188   0.0041947
   240 | 008A33     35379   0.0042175
   241 | 008AF3     35571   0.0042404
   242 | 008BB5     35765   0.0042635
   243 | 008C77     35959   0.0042866
   244 | 008D3A     36154   0.0043099
   245 | 008DFE     36350   0.0043333
   246 | 008EC4     36548   0.0043569
   247 | 008F8A     36746   0.0043805
   248 | 009052     36946   0.0044043
   249 | 00911A     37146   0.0044281
   250 | 0091E4     37348   0.0044522
   251 | 0092AF     37551   0.0044764
   252 | 00937B     37755   0.0045007
   253 | 009448     37960   0.0045252
   254 | 009516     38166   0.0045497
   255 | 0095E5     38373   0.0045744
   256 | 0096B5     38581   0.0045992
   257 | 009787     38791   0.0046242
   258 | 00985A     39002   0.0046494
   259 | 00992D     39213   0.0046746
   260 | 009A02     39426   0.0046999
   261 | 009AD8     39640   0.0047255
   262 | 009BB0     39856   0.0047512
   263 | 009C88     40072   0.0047770
   264 | 009D62     40290   0.0048029
   265 | 009E3C     40508   0.0048289
   266 | 009F18     40728   0.0048552
   267 | 009FF5     40949   0.0048815
   268 | 00A0D4     41172   0.0049081
   269 | 00A1B3     41395   0.0049347
   270 | 00A294     41620   0.0049615
   271 | 00A376     41846   0.0049884
   272 | 00A459     42073   0.0050155
   273 | 00A53E     42302   0.0050428
   274 | 00A624     42532   0.0050702
   275 | 00A70A     42762   0.0050976
   276 | 00A7F3     42995   0.0051254
   277 | 00A8DC     43228   0.0051532
   278 | 00A9C7     43463   0.0051812
   279 | 00AAB3     43699   0.0052093
   280 | 00ABA0     43936   0.0052376
   281 | 00AC8F     44175   0.0052661
   282 | 00AD7F     44415   0.0052947
   283 | 00AE70     44656   0.0053234
   284 | 00AF62     44898   0.0053523
   285 | 00B056     45142   0.0053813
   286 | 00B14B     45387   0.0054106
   287 | 00B242     45634   0.0054400
   288 | 00B339     45881   0.0054694
   289 | 00B433     46131   0.0054992
   290 | 00B52D     46381   0.0055290
   291 | 00B629     46633   0.0055591
   292 | 00B726     46886   0.0055892
   293 | 00B825     47141   0.0056196
   294 | 00B925     47397   0.0056502
   295 | 00BA26     47654   0.0056808
   296 | 00BB29     47913   0.0057117
   297 | 00BC2D     48173   0.0057427
   298 | 00BD33     48435   0.0057739
   299 | 00BE3A     48698   0.0058053
   300 | 00BF42     48962   0.0058367
   301 | 00C04C     49228   0.0058684
   302 | 00C157     49495   0.0059003
   303 | 00C264     49764   0.0059323
   304 | 00C372     50034   0.0059645
   305 | 00C482     50306   0.0059969
   306 | 00C593     50579   0.0060295
   307 | 00C6A6     50854   0.0060623
   308 | 00C7BA     51130   0.0060952
   309 | 00C8CF     51407   0.0061282
   310 | 00C9E7     51687   0.0061616
   311 | 00CAFF     51967   0.0061949
   312 | 00CC19     52249   0.0062286
   313 | 00CD35     52533   0.0062624
   314 | 00CE52     52818   0.0062964
   315 | 00CF71     53105   0.0063306
   316 | 00D092     53394   0.0063651
   317 | 00D1B3     53683   0.0063995
   318 | 00D2D7     53975   0.0064343
   319 | 00D3FC     54268   0.0064692
   320 | 00D523     54563   0.0065044
   321 | 00D64B     54859   0.0065397
   322 | 00D775     55157   0.0065752
   323 | 00D8A0     55456   0.0066109
   324 | 00D9CE     55758   0.0066469
   325 | 00DAFC     56060   0.0066829
   326 | 00DC2D     56365   0.0067192
   327 | 00DD5F     56671   0.0067557
   328 | 00DE92     56978   0.0067923
   329 | 00DFC8     57288   0.0068293
   330 | 00E0FF     57599   0.0068663
   331 | 00E238     57912   0.0069036
   332 | 00E372     58226   0.0069411
   333 | 00E4AE     58542   0.0069788
   334 | 00E5EC     58860   0.0070167
   335 | 00E72C     59180   0.0070548
   336 | 00E86D     59501   0.0070931
   337 | 00E9B0     59824   0.0071316
   338 | 00EAF5     60149   0.0071703
