# P:$142F06  kernel_tbl_142F06  (384 words)
# kernel tbl: interp partner at P:$0637-0639; EQ region P:$07D9/0860
#  idx | hex     signed24   fraction(24-bit)
   148 | 7FEEC8   8384200   0.9994745
   149 | 7FEEB0   8384176   0.9994717
   150 | 7FEE98   8384152   0.9994688
   151 | 7FEE7F   8384127   0.9994658
   152 | 7FEE67   8384103   0.9994630
   153 | 7FEE4F   8384079   0.9994601
   154 | 7FEE36   8384054   0.9994571
   155 | 7FEE1D   8384029   0.9994541
   156 | 7FEE04   8384004   0.9994512
   157 | 7FEDEB   8383979   0.9994482
   158 | 7FEDD2   8383954   0.9994452
   159 | 7FEDB9   8383929   0.9994422
   160 | 7FEDA0   8383904   0.9994392
   161 | 7FED86   8383878   0.9994361
   162 | 7FED6C   8383852   0.9994330
   163 | 7FED53   8383827   0.9994301
   164 | 7FED39   8383801   0.9994270
   165 | 7FED1F   8383775   0.9994239
   166 | 7FED04   8383748   0.9994206
   167 | 7FECEA   8383722   0.9994175
   168 | 7FECCF   8383695   0.9994143
   169 | 7FECB5   8383669   0.9994112
   170 | 7FEC9A   8383642   0.9994080
   171 | 7FEC7F   8383615   0.9994048
   172 | 7FEC64   8383588   0.9994016
   173 | 7FEC49   8383561   0.9993984
   174 | 7FEC2D   8383533   0.9993950
   175 | 7FEC12   8383506   0.9993918
   176 | 7FEBF6   8383478   0.9993885
   177 | 7FEBDA   8383450   0.9993851
   178 | 7FEBBE   8383422   0.9993818
   179 | 7FEBA2   8383394   0.9993784
   180 | 7FEB86   8383366   0.9993751
   181 | 7FEB69   8383337   0.9993716
   182 | 7FEB4D   8383309   0.9993683
   183 | 7FEB30   8383280   0.9993649
   184 | 7FEB13   8383251   0.9993614
   185 | 7FEAF6   8383222   0.9993579
   186 | 7FEAD9   8383193   0.9993545
   187 | 7FEABB   8383163   0.9993509
   188 | 7FEA9E   8383134   0.9993474
   189 | 7FEA80   8383104   0.9993439
   190 | 7FEA62   8383074   0.9993403
   191 | 7FEA44   8383044   0.9993367
   192 | 7FEA26   8383014   0.9993331
   193 | 7FEA07   8382983   0.9993294
   194 | 7FE9E9   8382953   0.9993259
   195 | 7FE9CA   8382922   0.9993222
   196 | 7FE9AB   8382891   0.9993185
   197 | 7FE98C   8382860   0.9993148
   198 | 7FE96D   8382829   0.9993111
   199 | 7FE94E   8382798   0.9993074
   200 | 7FE92E   8382766   0.9993036
   201 | 7FE90F   8382735   0.9992999
   202 | 7FE8EF   8382703   0.9992961
   203 | 7FE8CF   8382671   0.9992923
   204 | 7FE8AE   8382638   0.9992883
   205 | 7FE88E   8382606   0.9992845
   206 | 7FE86D   8382573   0.9992806
   207 | 7FE84D   8382541   0.9992768
   208 | 7FE82C   8382508   0.9992728
   209 | 7FE80B   8382475   0.9992689
   210 | 7FE7E9   8382441   0.9992648
   211 | 7FE7C8   8382408   0.9992609
   212 | 7FE7A6   8382374   0.9992568
   213 | 7FE784   8382340   0.9992528
   214 | 7FE762   8382306   0.9992487
   215 | 7FE740   8382272   0.9992447
   216 | 7FE71E   8382238   0.9992406
   217 | 7FE6FB   8382203   0.9992365
   218 | 7FE6D8   8382168   0.9992323
   219 | 7FE6B5   8382133   0.9992281
   220 | 7FE692   8382098   0.9992239
   221 | 7FE66F   8382063   0.9992198
   222 | 7FE64B   8382027   0.9992155
   223 | 7FE628   8381992   0.9992113
   224 | 7FE604   8381956   0.9992070
   225 | 7FE5E0   8381920   0.9992027
   226 | 7FE5BB   8381883   0.9991983
   227 | 7FE597   8381847   0.9991940
   228 | 7FE572   8381810   0.9991896
   229 | 7FE54D   8381773   0.9991852
   230 | 7FE528   8381736   0.9991808
   231 | 7FE503   8381699   0.9991764
   232 | 7FE4DD   8381661   0.9991719
   233 | 7FE4B8   8381624   0.9991674
   234 | 7FE492   8381586   0.9991629
   235 | 7FE46C   8381548   0.9991584
   236 | 7FE445   8381509   0.9991537
   237 | 7FE41F   8381471   0.9991492
   238 | 7FE3F8   8381432   0.9991446
   239 | 7FE3D1   8381393   0.9991399
   240 | 7FE3AA   8381354   0.9991353
   241 | 7FE383   8381315   0.9991306
   242 | 7FE35B   8381275   0.9991258
   243 | 7FE333   8381235   0.9991211
   244 | 7FE30B   8381195   0.9991163
   245 | 7FE2E3   8381155   0.9991115
   246 | 7FE2BA   8381114   0.9991066
   247 | 7FE292   8381074   0.9991019
   248 | 7FE269   8381033   0.9990970
   249 | 7FE240   8380992   0.9990921
   250 | 7FE216   8380950   0.9990871
   251 | 7FE1ED   8380909   0.9990822
   252 | 7FE1C3   8380867   0.9990772
   253 | 7FE199   8380825   0.9990722
   254 | 7FE16F   8380783   0.9990672
   255 | 7FE144   8380740   0.9990621
   256 | 7FE11A   8380698   0.9990571
   257 | 7FE0EF   8380655   0.9990519
   258 | 7FE0C4   8380612   0.9990468
   259 | 7FE098   8380568   0.9990416
   260 | 7FE06D   8380525   0.9990364
   261 | 7FE041   8380481   0.9990312
   262 | 7FE015   8380437   0.9990259
   263 | 7FDFE8   8380392   0.9990206
   264 | 7FDFBC   8380348   0.9990153
   265 | 7FDF8F   8380303   0.9990100
   266 | 7FDF62   8380258   0.9990046
   267 | 7FDF34   8380212   0.9989991
   268 | 7FDF07   8380167   0.9989938
   269 | 7FDED9   8380121   0.9989883
   270 | 7FDEAB   8380075   0.9989828
   271 | 7FDE7D   8380029   0.9989773
   272 | 7FDE4E   8379982   0.9989717
   273 | 7FDE1F   8379935   0.9989661
   274 | 7FDDF0   8379888   0.9989605
   275 | 7FDDC1   8379841   0.9989549
   276 | 7FDD91   8379793   0.9989492
   277 | 7FDD62   8379746   0.9989436
   278 | 7FDD31   8379697   0.9989377
   279 | 7FDD01   8379649   0.9989320
   280 | 7FDCD0   8379600   0.9989262
   281 | 7FDCA0   8379552   0.9989204
   282 | 7FDC6E   8379502   0.9989145
   283 | 7FDC3D   8379453   0.9989086
   284 | 7FDC0B   8379403   0.9989027
   285 | 7FDBD9   8379353   0.9988967
   286 | 7FDBA7   8379303   0.9988908
   287 | 7FDB75   8379253   0.9988848
   288 | 7FDB42   8379202   0.9988787
   289 | 7FDB0F   8379151   0.9988726
   290 | 7FDADC   8379100   0.9988666
   291 | 7FDAA8   8379048   0.9988604
   292 | 7FDA74   8378996   0.9988542
   293 | 7FDA40   8378944   0.9988480
   294 | 7FDA0B   8378891   0.9988416
   295 | 7FD9D7   8378839   0.9988354
   296 | 7FD9A2   8378786   0.9988291
   297 | 7FD96C   8378732   0.9988227
   298 | 7FD937   8378679   0.9988164
   299 | 7FD901   8378625   0.9988099
   300 | 7FD8CB   8378571   0.9988035
   301 | 7FD894   8378516   0.9987969
   302 | 7FD85D   8378461   0.9987904
   303 | 7FD826   8378406   0.9987838
   304 | 7FD7EF   8378351   0.9987773
   305 | 7FD7B7   8378295   0.9987706
   306 | 7FD77F   8378239   0.9987639
   307 | 7FD747   8378183   0.9987572
   308 | 7FD70F   8378127   0.9987506
   309 | 7FD6D6   8378070   0.9987438
   310 | 7FD69D   8378013   0.9987370
   311 | 7FD663   8377955   0.9987301
   312 | 7FD629   8377897   0.9987231
   313 | 7FD5EF   8377839   0.9987162
   314 | 7FD5B5   8377781   0.9987093
   315 | 7FD57A   8377722   0.9987023
   316 | 7FD53F   8377663   0.9986953
   317 | 7FD503   8377603   0.9986881
   318 | 7FD4C8   8377544   0.9986811
   319 | 7FD48C   8377484   0.9986739
   320 | 7FD44F   8377423   0.9986666
   321 | 7FD413   8377363   0.9986595
   322 | 7FD3D6   8377302   0.9986522
   323 | 7FD398   8377240   0.9986448
   324 | 7FD35B   8377179   0.9986376
   325 | 7FD31D   8377117   0.9986302
   326 | 7FD2DE   8377054   0.9986227
   327 | 7FD2A0   8376992   0.9986153
   328 | 7FD261   8376929   0.9986078
   329 | 7FD221   8376865   0.9986001
   330 | 7FD1E1   8376801   0.9985925
   331 | 7FD1A1   8376737   0.9985849
   332 | 7FD161   8376673   0.9985772
   333 | 7FD120   8376608   0.9985695
   334 | 7FD0DF   8376543   0.9985617
   335 | 7FD09E   8376478   0.9985540
   336 | 7FD05C   8376412   0.9985461
   337 | 7FD01A   8376346   0.9985383
   338 | 7FCFD7   8376279   0.9985303
   339 | 7FCF94   8376212   0.9985223
   340 | 7FCF51   8376145   0.9985143
   341 | 7FCF0D   8376077   0.9985062
   342 | 7FCEC9   8376009   0.9984981
   343 | 7FCE85   8375941   0.9984900
   344 | 7FCE40   8375872   0.9984818
   345 | 7FCDFB   8375803   0.9984735
   346 | 7FCDB6   8375734   0.9984653
   347 | 7FCD70   8375664   0.9984570
   348 | 7FCD2A   8375594   0.9984486
   349 | 7FCCE3   8375523   0.9984401
   350 | 7FCC9C   8375452   0.9984317
   351 | 7FCC55   8375381   0.9984232
   352 | 7FCC0D   8375309   0.9984146
   353 | 7FCBC5   8375237   0.9984061
   354 | 7FCB7C   8375164   0.9983974
   355 | 7FCB33   8375091   0.9983886
   356 | 7FCAEA   8375018   0.9983799
