table at $1449C6 (256 words, 24-bit)
idx(hex) hex frac(=/2^23)
179 (b3) 002980 +0.0012665
180 (b4) 002D41 +0.0013810
181 (b5) 00315A +0.0015061
182 (b6) 0035D1 +0.0016423
183 (b7) 003AB0 +0.0017910
184 (b8) 004000 +0.0019531
185 (b9) 0045CB +0.0021299
186 (ba) 004C1C +0.0023227
187 (bb) 0052FF +0.0025328
188 (bc) 005A83 +0.0027622
189 (bd) 0062B4 +0.0030122
190 (be) 006BA2 +0.0032847
191 (bf) 007560 +0.0035820
192 (c0) 008000 +0.0039062
193 (c1) 008B96 +0.0042598
194 (c2) 009838 +0.0046453
195 (c3) 00A5FF +0.0050658
196 (c4) 00B505 +0.0055243
197 (c5) 00C567 +0.0060242
198 (c6) 00D745 +0.0065695
199 (c7) 00EAC1 +0.0071641
200 (c8) 010000 +0.0078125
201 (c9) 01172C +0.0085196
202 (ca) 013070 +0.0092907
203 (cb) 014BFE +0.0101316
204 (cc) 016A0A +0.0110486
205 (cd) 018ACE +0.0120485
206 (ce) 01AE8A +0.0131390
207 (cf) 01D582 +0.0143282
208 (d0) 020000 +0.0156250
209 (d1) 022E57 +0.0170392
210 (d2) 0260E0 +0.0185814
211 (d3) 0297FB +0.0202631
212 (d4) 02D414 +0.0220971
213 (d5) 03159D +0.0240971
214 (d6) 035D14 +0.0262780
215 (d7) 03AB03 +0.0286564
216 (d8) 040000 +0.0312500
217 (d9) 045CAE +0.0340784
218 (da) 04C1BF +0.0371627
219 (db) 052FF7 +0.0405263
220 (dc) 05A828 +0.0441942
221 (dd) 062B39 +0.0481941
222 (de) 06BA28 +0.0525560
223 (df) 075606 +0.0573127
224 (e0) 080000 +0.0625000
225 (e1) 08B95C +0.0681567
226 (e2) 09837F +0.0743254
227 (e3) 0A5FED +0.0810524
228 (e4) 0B504F +0.0883883
229 (e5) 0C5673 +0.0963882
230 (e6) 0D7450 +0.1051121
231 (e7) 0EAC0C +0.1146255
232 (e8) 100000 +0.1250000
233 (e9) 1172B8 +0.1363134
234 (ea) 1306FE +0.1486509
235 (eb) 14BFDB +0.1621050
236 (ec) 16A09E +0.1767766
237 (ed) 18ACE5 +0.1927763
238 (ee) 1AE8A0 +0.2102242
239 (ef) 1D5819 +0.2292510
240 (f0) 200000 +0.2500000
241 (f1) 22E570 +0.2726269
242 (f2) 260DFC +0.2973018
243 (f3) 297FB6 +0.3242099
244 (f4) 2D413D +0.3535534
245 (f5) 3159CA +0.3855526
246 (f6) 35D13F +0.4204482
247 (f7) 3AB032 +0.4585021
248 (f8) 400000 +0.5000000
249 (f9) 45CAE1 +0.5452539
250 (fa) 4C1BF8 +0.5946035
251 (fb) 52FF6B +0.6484197
252 (fc) 5A827A +0.7071068
253 (fd) 62B395 +0.7711054
254 (fe) 6BA27E +0.8408964
255 (ff) 756063 +0.9170040
